French,English
je,I
de,of/from
est,is
pas,not
le,the (masc)
vous,you (formal/plural)
la,the (fem)
tu,you (informal/singular)
que,that/what
un,a/one (masc)
une,a/one (fem)
à,to/at
il,he/it
et,and
en,in/by
être,to be
avoir,to have
pour,for
dans,in
ce,this/that
ne,not
sur,on/upon
se,himself/herself/itself
qui,who
y,there
avec,with
tout,all/everything
faire,to do/to make
son,his/her/its (masc)
mettre,to put
autre,other
on,one/we
mais,but
nous,we/us
comme,like/as
ou,or
si,if
leur,their
y,there
dire,to say
elle,she/it
devant,in front of
devoir,to have to/must
même,same/even
prendre,to take
aucun,none/no
celui,the one/he
donner,to give
où,where
fois,time (occurrence)
vous,you (formal/plural)
encore,again/still
nouveau,new
aller,to go
cela,that/it
entre,between
premier,first
vouloir,to want
déjà,already
grand,big
mon,my (masc)
me,me/myself
moins,less
aucune,none/no (fem)
lui,him
temps,time/weather
très,very
savoir,to know
falloir,to be necessary
voir,to see
quelque,some
sans,without
raison,reason
notre,our
dont,whose/of which
non,no
an,year
monde,world
jour,day
madame,madam
moi,me
jamais,never
homme,man
rien,nothing
voilà,there is/here is
après,after
trouver,to find
personne,nobody/person
rendre,to return (something)
partir,to leave
dernier,last
venir,to come
pendant,during
passer,to pass
peu,little/few
lequel,which one
suite,following/series
bon,good
comprendre,to understand
depuis,since
point,point/dot
ainsi,thus/so
heure,hour/time
rester,to stay
tenir,to hold
porter,to wear/to carry
parler,to speak
fort,strong
aussi,also
montrer,to show
continuer,to continue
penser,to think
suivre,to follow
connaître,to know (a person)
croire,to believe
commencer,to begin
compter,to count
besoin,need
oeil,eye
trouver,to find
femme,woman
cas,case
terre,earth
arriver,to arrive
écrire,to write
niveau,level
plein,full
nom,name
falloir,it is necessary
gouvernement,government
rapport,report
million,million
part,part/share
nouvelle,news
ville,city
air,air
permettre,to allow
mois,month
loi,law
aucuns,none
type,type/kind
garder,to keep
mot,word
question,question
dieu,God
plan,plan
visage,face
reconnaître,to recognize
route,road
penser,to think
place,place
école,school
état,state
marcher,to walk
vivre,to live
objectif,goal/objective
chambre,room
aimer,to like/love
travail,work
élever,to raise
droit,right
chef,leader/chef
service,service
fin,end
attendre,to wait
